Team,W,L,MOV,ORtg,DRtg,NRtg,TS%
Boston Celtics,64,18,11.34,123.2,111.6,11.6,0.609
Oklahoma City Thunder,57,25,7.41,119.5,112.1,7.4,0.608
Minnesota Timberwolves,56,26,6.45,115.6,109.0,6.6,0.594
Denver Nuggets,57,25,5.26,118.5,113.0,5.5,0.589
New York Knicks,50,32,4.59,118.2,113.4,4.8,0.574
New Orleans Pelicans,49,33,4.41,117.4,112.9,4.5,0.591
Los Angeles Clippers,51,31,3.28,118.8,115.4,3.4,0.599
Philadelphia 76ers,47,35,3.05,116.9,113.8,3.1,0.574
Phoenix Suns,49,33,3.06,117.6,114.6,3.0,0.603
Indiana Pacers,47,35,3.05,121.0,118.0,3.0,0.606
Golden State Warriors,46,36,2.61,117.8,115.2,2.6,0.586
Milwaukee Bucks,49,33,2.62,118.4,115.8,2.6,0.601
Cleveland Cavaliers,48,34,2.41,115.2,112.7,2.5,0.586
Dallas Mavericks,50,32,2.21,117.6,115.4,2.2,0.592
Orlando Magic,47,35,2.02,113.4,111.3,2.1,0.577
Miami Heat,46,36,1.76,114.0,112.2,1.8,0.578
Sacramento Kings,46,36,1.74,116.9,115.2,1.7,0.582
Houston Rockets,41,41,1.12,114.5,113.4,1.1,0.565
Los Angeles Lakers,47,35,0.6,115.9,115.3,0.6,0.601
Chicago Bulls,39,43,-1.44,114.9,116.3,-1.4,0.568
Atlanta Hawks,36,46,-2.18,117.2,119.4,-2.2,0.576
Brooklyn Nets,32,50,-2.89,113.2,116.1,-2.9,0.561
Utah Jazz,31,51,-4.89,115.5,120.4,-4.9,0.579
San Antonio Spurs,22,60,-6.49,110.0,116.4,-6.4,0.563
Toronto Raptors,25,57,-6.44,112.3,118.8,-6.5,0.566
Memphis Grizzlies,27,55,-7.0,107.2,114.3,-7.1,0.543
Detroit Pistons,14,68,-9.11,109.7,118.8,-9.1,0.562
Washington Wizards,15,67,-9.29,110.5,119.6,-9.1,0.567
Portland Trail Blazers,21,61,-9.02,108.3,117.5,-9.2,0.539
Charlotte Hornets,21,61,-10.24,109.3,119.8,-10.5,0.56
